IR,Char
Ag,"[{'1': '1'}, {'3+': '1'}, {'3-': '1'}, {'2': '1'}, {'-1': '1'}, {'-3+': '1'}, {'-3-': '1'}, {'m': '1'}]"
Eg1,"[{'1': '1'}, {'3+': 'exp(2*I*pi/3)'}, {'3-': 'exp(-2*I*pi/3)'}, {'2': '1'}, {'-1': '1'}, {'-3+': 'exp(2*I*pi/3)'}, {'-3-': 'exp(-2*I*pi/3)'}, {'m': '1'}]"
Eg2,"[{'1': '1'}, {'3+': 'exp(-2*I*pi/3)'}, {'3-': 'exp(2*I*pi/3)'}, {'2': '1'}, {'-1': '1'}, {'-3+': 'exp(-2*I*pi/3)'}, {'-3-': 'exp(2*I*pi/3)'}, {'m': '1'}]"
Tg,"[{'1': '3'}, {'3+': '0'}, {'3-': '0'}, {'2': '-1'}, {'-1': '3'}, {'-3+': '0'}, {'-3-': '0'}, {'m': '-1'}]"
Au,"[{'1': '1'}, {'3+': '1'}, {'3-': '1'}, {'2': '1'}, {'-1': '-1'}, {'-3+': '-1'}, {'-3-': '-1'}, {'m': '-1'}]"
Eu1,"[{'1': '1'}, {'3+': 'exp(2*I*pi/3)'}, {'3-': 'exp(-2*I*pi/3)'}, {'2': '1'}, {'-1': '-1'}, {'-3+': '-exp(2*I*pi/3)'}, {'-3-': '-exp(-2*I*pi/3)'}, {'m': '-1'}]"
Eu2,"[{'1': '1'}, {'3+': 'exp(-2*I*pi/3)'}, {'3-': 'exp(2*I*pi/3)'}, {'2': '1'}, {'-1': '-1'}, {'-3+': '-exp(-2*I*pi/3)'}, {'-3-': '-exp(2*I*pi/3)'}, {'m': '-1'}]"
Tu,"[{'1': '3'}, {'3+': '0'}, {'3-': '0'}, {'2': '-1'}, {'-1': '-3'}, {'-3+': '0'}, {'-3-': '0'}, {'m': '1'}]"
