IR,Char
A,"[{'1': '1'}, {'2': '1'}, {'3+': '1'}, {'3-': '1'}]"
1E,"[{'1': '1'}, {'2': '1'}, {'3+': 'exp(2*I*pi/3)'}, {'3-': 'exp(-2*I*pi/3)'}]"
2E,"[{'1': '1'}, {'2': '1'}, {'3+': 'exp(-2*I*pi/3)'}, {'3-': 'exp(2*I*pi/3)'}]"
T,"[{'1': '3'}, {'2': '-1'}, {'3+': '0'}, {'3-': '0'}]"
