IR,Char
Ag,"[{'1': '1'}, {'3+': '1'}, {'3-': '1'}, {'2': '1'}, {'-1': '1'}, {'-3+': '1'}, {'-3-': '1'}, {'m': '1'}]"
1Eg,"[{'1': '1'}, {'3+': 'exp(2 i Pi/3)'}, {'3-': 'exp(-2 i Pi/3)'}, {'2': '1'}, {'-1': '1'}, {'-3+': 'exp(2 i Pi/3)'}, {'-3-': 'exp(-2 i Pi/3)'}, {'m': '1'}]"
2Eg,"[{'1': '1'}, {'3+': 'exp(-2 i Pi/3)'}, {'3-': 'exp(2 i Pi/3)'}, {'2': '1'}, {'-1': '1'}, {'-3+': 'exp(-2 i Pi/3)'}, {'-3-': 'exp(2 i Pi/3)'}, {'m': '1'}]"
Tg,"[{'1': '3'}, {'3+': '0'}, {'3-': '0'}, {'2': '-1'}, {'-1': '3'}, {'-3+': '0'}, {'-3-': '0'}, {'m': '-1'}]"
Au,"[{'1': '1'}, {'3+': '1'}, {'3-': '1'}, {'2': '1'}, {'-1': '-1'}, {'-3+': '-1'}, {'-3-': '-1'}, {'m': '-1'}]"
1Eu,"[{'1': '1'}, {'3+': 'exp(2 i Pi/3)'}, {'3-': 'exp(-2 i Pi/3)'}, {'2': '1'}, {'-1': '-1'}, {'-3+': '-exp(2 i Pi/3)'}, {'-3-': '-exp(-2 i Pi/3)'}, {'m': '-1'}]"
2Eu,"[{'1': '1'}, {'3+': 'exp(-2 i Pi/3)'}, {'3-': 'exp(2 i Pi/3)'}, {'2': '1'}, {'-1': '-1'}, {'-3+': '-exp(-2 i Pi/3)'}, {'-3-': '-exp(2 i Pi/3)'}, {'m': '-1'}]"
Tu,"[{'1': '3'}, {'3+': '0'}, {'3-': '0'}, {'2': '-1'}, {'-1': '-3'}, {'-3+': '0'}, {'-3-': '0'}, {'m': '1'}]"
