IR,Char
A,"[{'1': '1'}, {'2': '1'}, {'3+': '1'}, {'3-': '1'}]"
E1,"[{'1': '1'}, {'2': '1'}, {'3+': 'exp(2*I*pi/3)'}, {'3-': 'exp(-2*I*pi/3)'}]"
E2,"[{'1': '1'}, {'2': '1'}, {'3+': 'exp(-2*I*pi/3)'}, {'3-': 'exp(2*I*pi/3)'}]"
T,"[{'1': '3'}, {'2': '-1'}, {'3+': '0'}, {'3-': '0'}]"
