ITA,rot,trans
1   ,"Matrix([[1, 0, 0], [0, 1, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"2 (0,0,1/2) 3/8,1/8,z ","Matrix([[-1, 0, 0], [0, -1, 0], [0, 0, 1]])","Matrix([[3/4], [1/4], [1/2]])"
"2 (0,1/2,0) 1/8,y,3/8 ","Matrix([[-1, 0, 0], [0, 1, 0], [0, 0, -1]])","Matrix([[1/4], [1/2], [3/4]])"
"2 (1/2,0,0) x,3/8,1/8 ","Matrix([[1, 0, 0], [0, -1, 0], [0, 0, -1]])","Matrix([[1/2], [3/4], [1/4]])"
"3+  x,x,x ","Matrix([[0, 0, 1], [1, 0, 0], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"3+  -x+1/2,x+1/4,-x ","Matrix([[0, 0, 1], [-1, 0, 0], [0, -1, 0]])","Matrix([[1/2], [3/4], [1/4]])"
"3+  x+3/4,-x-1/2,-x ","Matrix([[0, 0, -1], [-1, 0, 0], [0, 1, 0]])","Matrix([[3/4], [1/4], [1/2]])"
"3+  -x+1/4,-x+3/4,x ","Matrix([[0, 0, -1], [1, 0, 0], [0, -1, 0]])","Matrix([[1/4], [1/2], [3/4]])"
"3-  x,x,x ","Matrix([[0, 1, 0], [0, 0, 1], [1, 0, 0]])","Matrix([[0], [0], [0]])"
"3- (-1/3,1/3,1/3) x+5/12,-x+1/6,-x ","Matrix([[0, -1, 0], [0, 0, 1], [-1, 0, 0]])","Matrix([[1/4], [1/2], [3/4]])"
"3- (1/3,1/3,-1/3) -x+7/12,-x+5/12,x ","Matrix([[0, 1, 0], [0, 0, -1], [-1, 0, 0]])","Matrix([[1/2], [3/4], [1/4]])"
"3- (1/3,-1/3,1/3) -x-1/6,x+7/12,-x ","Matrix([[0, -1, 0], [0, 0, -1], [1, 0, 0]])","Matrix([[3/4], [1/4], [1/2]])"
"2 (1/2,1/2,0) x,x-1/4,1/4 ","Matrix([[0, 1, 0], [1, 0, 0], [0, 0, -1]])","Matrix([[3/4], [1/4], [1/2]])"
"2  x,-x,0 ","Matrix([[0, -1, 0], [-1, 0, 0], [0, 0, -1]])","Matrix([[0], [0], [0]])"
"4- (0,0,3/4) 3/8,1/8,z ","Matrix([[0, 1, 0], [-1, 0, 0], [0, 0, 1]])","Matrix([[1/4], [1/2], [3/4]])"
"4+ (0,0,1/4) -1/8,5/8,z ","Matrix([[0, -1, 0], [1, 0, 0], [0, 0, 1]])","Matrix([[1/2], [3/4], [1/4]])"
"4- (3/4,0,0) x,3/8,1/8 ","Matrix([[1, 0, 0], [0, 0, 1], [0, -1, 0]])","Matrix([[3/4], [1/4], [1/2]])"
"2 (0,1/2,1/2) 1/4,y+1/4,y ","Matrix([[-1, 0, 0], [0, 0, 1], [0, 1, 0]])","Matrix([[1/2], [3/4], [1/4]])"
"2  0,y,-y ","Matrix([[-1, 0, 0], [0, 0, -1], [0, -1, 0]])","Matrix([[0], [0], [0]])"
"4+ (1/4,0,0) x,-1/8,5/8 ","Matrix([[1, 0, 0], [0, 0, -1], [0, 1, 0]])","Matrix([[1/4], [1/2], [3/4]])"
"4+ (0,1/4,0) 5/8,y,-1/8 ","Matrix([[0, 0, 1], [0, 1, 0], [-1, 0, 0]])","Matrix([[3/4], [1/4], [1/2]])"
"2 (1/2,0,1/2) x-1/4,1/4,x ","Matrix([[0, 0, 1], [0, -1, 0], [1, 0, 0]])","Matrix([[1/4], [1/2], [3/4]])"
"4- (0,3/4,0) 1/8,y,3/8 ","Matrix([[0, 0, -1], [0, 1, 0], [1, 0, 0]])","Matrix([[1/2], [3/4], [1/4]])"
"2  -x,0,x ","Matrix([[0, 0, -1], [0, -1, 0], [-1, 0, 0]])","Matrix([[0], [0], [0]])"
"-1   0,0,0","Matrix([[-1, 0, 0], [0, -1, 0], [0, 0, -1]])","Matrix([[0], [0], [0]])"
"d (1/4,3/4,0) x,y,1/4 ","Matrix([[1, 0, 0], [0, 1, 0], [0, 0, -1]])","Matrix([[1/4], [3/4], [1/2]])"
"d (3/4,0,1/4) x,1/4,z ","Matrix([[1, 0, 0], [0, -1, 0], [0, 0, 1]])","Matrix([[3/4], [1/2], [1/4]])"
"d (0,1/4,3/4) 1/4,y,z ","Matrix([[-1, 0, 0], [0, 1, 0], [0, 0, 1]])","Matrix([[1/2], [1/4], [3/4]])"
"-3+  x,x,x; 0,0,0","Matrix([[0, 0, -1], [-1, 0, 0], [0, -1, 0]])","Matrix([[0], [0], [0]])"
"-3+  -x-1,x+3/4,-x; -1/4,0,3/4","Matrix([[0, 0, -1], [1, 0, 0], [0, 1, 0]])","Matrix([[1/2], [1/4], [3/4]])"
"-3+  x-1/4,-x+1,-x; 0,3/4,-1/4","Matrix([[0, 0, 1], [1, 0, 0], [0, -1, 0]])","Matrix([[1/4], [3/4], [1/2]])"
"-3+  -x+3/4,-x-1/4,x; 3/4,-1/4,0","Matrix([[0, 0, 1], [-1, 0, 0], [0, 1, 0]])","Matrix([[3/4], [1/2], [1/4]])"
"-3-  x,x,x; 0,0,0","Matrix([[0, -1, 0], [0, 0, -1], [-1, 0, 0]])","Matrix([[0], [0], [0]])"
"-3-  x+5/4,-x-1,-x; 1/2,-1/4,3/4","Matrix([[0, 1, 0], [0, 0, -1], [1, 0, 0]])","Matrix([[3/4], [1/2], [1/4]])"
"-3-  -x+1/4,-x+5/4,x; -1/4,3/4,1/2","Matrix([[0, -1, 0], [0, 0, 1], [1, 0, 0]])","Matrix([[1/2], [1/4], [3/4]])"
"-3-  -x+1,x+1/4,-x; 3/4,1/2,-1/4","Matrix([[0, 1, 0], [0, 0, 1], [-1, 0, 0]])","Matrix([[1/4], [3/4], [1/2]])"
"g (-1/4,1/4,1/2) x+1/2,-x,z ","Matrix([[0, -1, 0], [-1, 0, 0], [0, 0, 1]])","Matrix([[1/4], [3/4], [1/2]])"
"m  x,x,z ","Matrix([[0, 1, 0], [1, 0, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"-4-  1/8,5/8,z; 1/8,5/8,1/8","Matrix([[0, -1, 0], [1, 0, 0], [0, 0, -1]])","Matrix([[3/4], [1/2], [1/4]])"
"-4+  3/8,-1/8,z; 3/8,-1/8,3/8","Matrix([[0, 1, 0], [-1, 0, 0], [0, 0, -1]])","Matrix([[1/2], [1/4], [3/4]])"
"-4-  x,1/8,5/8; 1/8,1/8,5/8","Matrix([[-1, 0, 0], [0, 0, -1], [0, 1, 0]])","Matrix([[1/4], [3/4], [1/2]])"
"g (1/2,-1/4,1/4) x,y+1/2,-y ","Matrix([[1, 0, 0], [0, 0, -1], [0, -1, 0]])","Matrix([[1/2], [1/4], [3/4]])"
"m  x,y,y ","Matrix([[1, 0, 0], [0, 0, 1], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"-4+  x,3/8,-1/8; 3/8,3/8,-1/8","Matrix([[-1, 0, 0], [0, 0, 1], [0, -1, 0]])","Matrix([[3/4], [1/2], [1/4]])"
