ITA,rot,trans
1   ,"Matrix([[1, 0, 0], [0, 1, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"2  0,0,z ","Matrix([[-1, 0, 0], [0, -1, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"2  0,y,0 ","Matrix([[-1, 0, 0], [0, 1, 0], [0, 0, -1]])","Matrix([[0], [0], [0]])"
"2  x,0,0 ","Matrix([[1, 0, 0], [0, -1, 0], [0, 0, -1]])","Matrix([[0], [0], [0]])"
"3+  x,x,x ","Matrix([[0, 0, 1], [1, 0, 0], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"3+  -x,x,-x ","Matrix([[0, 0, 1], [-1, 0, 0], [0, -1, 0]])","Matrix([[0], [0], [0]])"
"3+  x,-x,-x ","Matrix([[0, 0, -1], [-1, 0, 0], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"3+  -x,-x,x ","Matrix([[0, 0, -1], [1, 0, 0], [0, -1, 0]])","Matrix([[0], [0], [0]])"
"3-  x,x,x ","Matrix([[0, 1, 0], [0, 0, 1], [1, 0, 0]])","Matrix([[0], [0], [0]])"
"3-  x,-x,-x ","Matrix([[0, -1, 0], [0, 0, 1], [-1, 0, 0]])","Matrix([[0], [0], [0]])"
"3-  -x,-x,x ","Matrix([[0, 1, 0], [0, 0, -1], [-1, 0, 0]])","Matrix([[0], [0], [0]])"
"3-  -x,x,-x ","Matrix([[0, -1, 0], [0, 0, -1], [1, 0, 0]])","Matrix([[0], [0], [0]])"
"2  x,x,0 ","Matrix([[0, 1, 0], [1, 0, 0], [0, 0, -1]])","Matrix([[0], [0], [0]])"
"2  x,-x,0 ","Matrix([[0, -1, 0], [-1, 0, 0], [0, 0, -1]])","Matrix([[0], [0], [0]])"
"4-  0,0,z ","Matrix([[0, 1, 0], [-1, 0, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"4+  0,0,z ","Matrix([[0, -1, 0], [1, 0, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"4-  x,0,0 ","Matrix([[1, 0, 0], [0, 0, 1], [0, -1, 0]])","Matrix([[0], [0], [0]])"
"2  0,y,y ","Matrix([[-1, 0, 0], [0, 0, 1], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"2  0,y,-y ","Matrix([[-1, 0, 0], [0, 0, -1], [0, -1, 0]])","Matrix([[0], [0], [0]])"
"4+  x,0,0 ","Matrix([[1, 0, 0], [0, 0, -1], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"4+  0,y,0 ","Matrix([[0, 0, 1], [0, 1, 0], [-1, 0, 0]])","Matrix([[0], [0], [0]])"
"2  x,0,x ","Matrix([[0, 0, 1], [0, -1, 0], [1, 0, 0]])","Matrix([[0], [0], [0]])"
"4-  0,y,0 ","Matrix([[0, 0, -1], [0, 1, 0], [1, 0, 0]])","Matrix([[0], [0], [0]])"
"2  -x,0,x ","Matrix([[0, 0, -1], [0, -1, 0], [-1, 0, 0]])","Matrix([[0], [0], [0]])"
"-1   0,0,0","Matrix([[-1, 0, 0], [0, -1, 0], [0, 0, -1]])","Matrix([[0], [0], [0]])"
"m  x,y,0 ","Matrix([[1, 0, 0], [0, 1, 0], [0, 0, -1]])","Matrix([[0], [0], [0]])"
"m  x,0,z ","Matrix([[1, 0, 0], [0, -1, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"m  0,y,z ","Matrix([[-1, 0, 0], [0, 1, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"-3+  x,x,x; 0,0,0","Matrix([[0, 0, -1], [-1, 0, 0], [0, -1, 0]])","Matrix([[0], [0], [0]])"
"-3+  -x,x,-x; 0,0,0","Matrix([[0, 0, -1], [1, 0, 0], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"-3+  x,-x,-x; 0,0,0","Matrix([[0, 0, 1], [1, 0, 0], [0, -1, 0]])","Matrix([[0], [0], [0]])"
"-3+  -x,-x,x; 0,0,0","Matrix([[0, 0, 1], [-1, 0, 0], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"-3-  x,x,x; 0,0,0","Matrix([[0, -1, 0], [0, 0, -1], [-1, 0, 0]])","Matrix([[0], [0], [0]])"
"-3-  x,-x,-x; 0,0,0","Matrix([[0, 1, 0], [0, 0, -1], [1, 0, 0]])","Matrix([[0], [0], [0]])"
"-3-  -x,-x,x; 0,0,0","Matrix([[0, -1, 0], [0, 0, 1], [1, 0, 0]])","Matrix([[0], [0], [0]])"
"-3-  -x,x,-x; 0,0,0","Matrix([[0, 1, 0], [0, 0, 1], [-1, 0, 0]])","Matrix([[0], [0], [0]])"
"m  x,-x,z ","Matrix([[0, -1, 0], [-1, 0, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"m  x,x,z ","Matrix([[0, 1, 0], [1, 0, 0], [0, 0, 1]])","Matrix([[0], [0], [0]])"
"-4-  0,0,z; 0,0,0","Matrix([[0, -1, 0], [1, 0, 0], [0, 0, -1]])","Matrix([[0], [0], [0]])"
"-4+  0,0,z; 0,0,0","Matrix([[0, 1, 0], [-1, 0, 0], [0, 0, -1]])","Matrix([[0], [0], [0]])"
"-4-  x,0,0; 0,0,0","Matrix([[-1, 0, 0], [0, 0, -1], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"m  x,y,-y ","Matrix([[1, 0, 0], [0, 0, -1], [0, -1, 0]])","Matrix([[0], [0], [0]])"
"m  x,y,y ","Matrix([[1, 0, 0], [0, 0, 1], [0, 1, 0]])","Matrix([[0], [0], [0]])"
"-4+  x,0,0; 0,0,0","Matrix([[-1, 0, 0], [0, 0, 1], [0, -1, 0]])","Matrix([[0], [0], [0]])"
"-4+  0,y,0; 0,0,0","Matrix([[0, 0, -1], [0, -1, 0], [1, 0, 0]])","Matrix([[0], [0], [0]])"
"m  -x,y,x ","Matrix([[0, 0, -1], [0, 1, 0], [-1, 0, 0]])","Matrix([[0], [0], [0]])"
"-4-  0,y,0; 0,0,0","Matrix([[0, 0, 1], [0, -1, 0], [-1, 0, 0]])","Matrix([[0], [0], [0]])"
"m  x,y,x ","Matrix([[0, 0, 1], [0, 1, 0], [1, 0, 0]])","Matrix([[0], [0], [0]])"
