Mult,Letter,Symm,Pos
2,,,
24,c,1,"[Matrix([
[x],
[y],
[z]]), Matrix([
[x + 1/2],
[y + 1/2],
[z + 1/2]]), Matrix([
[-x + 1/2],
[      -y],
[ z + 1/2]]), Matrix([
[      -x],
[-y + 1/2],
[       z]]), Matrix([
[      -x],
[ y + 1/2],
[-z + 1/2]]), Matrix([
[-x + 1/2],
[       y],
[      -z]]), Matrix([
[ x + 1/2],
[-y + 1/2],
[      -z]]), Matrix([
[       x],
[      -y],
[-z + 1/2]]), Matrix([
[z],
[x],
[y]]), Matrix([
[z + 1/2],
[x + 1/2],
[y + 1/2]]), Matrix([
[ z + 1/2],
[-x + 1/2],
[      -y]]), Matrix([
[       z],
[      -x],
[-y + 1/2]]), Matrix([
[-z + 1/2],
[      -x],
[ y + 1/2]]), Matrix([
[      -z],
[-x + 1/2],
[       y]]), Matrix([
[      -z],
[ x + 1/2],
[-y + 1/2]]), Matrix([
[-z + 1/2],
[       x],
[      -y]]), Matrix([
[y],
[z],
[x]]), Matrix([
[y + 1/2],
[z + 1/2],
[x + 1/2]]), Matrix([
[      -y],
[ z + 1/2],
[-x + 1/2]]), Matrix([
[-y + 1/2],
[       z],
[      -x]]), Matrix([
[ y + 1/2],
[-z + 1/2],
[      -x]]), Matrix([
[       y],
[      -z],
[-x + 1/2]]), Matrix([
[-y + 1/2],
[      -z],
[ x + 1/2]]), Matrix([
[      -y],
[-z + 1/2],
[       x]])]"
12,b,2..,"[Matrix([
[  x],
[  0],
[1/4]]), Matrix([
[x + 1/2],
[    1/2],
[    3/4]]), Matrix([
[-x + 1/2],
[       0],
[     3/4]]), Matrix([
[ -x],
[1/2],
[1/4]]), Matrix([
[1/4],
[  x],
[  0]]), Matrix([
[    3/4],
[x + 1/2],
[    1/2]]), Matrix([
[     3/4],
[-x + 1/2],
[       0]]), Matrix([
[1/4],
[ -x],
[1/2]]), Matrix([
[  0],
[1/4],
[  x]]), Matrix([
[    1/2],
[    3/4],
[x + 1/2]]), Matrix([
[       0],
[     3/4],
[-x + 1/2]]), Matrix([
[1/2],
[1/4],
[ -x]])]"
8,a,.3.,"[Matrix([
[x],
[x],
[x]]), Matrix([
[x + 1/2],
[x + 1/2],
[x + 1/2]]), Matrix([
[-x + 1/2],
[      -x],
[ x + 1/2]]), Matrix([
[      -x],
[-x + 1/2],
[       x]]), Matrix([
[      -x],
[ x + 1/2],
[-x + 1/2]]), Matrix([
[-x + 1/2],
[       x],
[      -x]]), Matrix([
[ x + 1/2],
[-x + 1/2],
[      -x]]), Matrix([
[       x],
[      -x],
[-x + 1/2]])]"
