Mult,Letter,Symm,Pos
2,,,
48,h,1,"[Matrix([
[x],
[y],
[z]]), Matrix([
[x + 1/2],
[y + 1/2],
[z + 1/2]]), Matrix([
[-x],
[-y],
[ z]]), Matrix([
[-x + 1/2],
[-y + 1/2],
[ z + 1/2]]), Matrix([
[-x],
[ y],
[-z]]), Matrix([
[-x + 1/2],
[ y + 1/2],
[-z + 1/2]]), Matrix([
[ x],
[-y],
[-z]]), Matrix([
[ x + 1/2],
[-y + 1/2],
[-z + 1/2]]), Matrix([
[z],
[x],
[y]]), Matrix([
[z + 1/2],
[x + 1/2],
[y + 1/2]]), Matrix([
[ z],
[-x],
[-y]]), Matrix([
[ z + 1/2],
[-x + 1/2],
[-y + 1/2]]), Matrix([
[-z],
[-x],
[ y]]), Matrix([
[-z + 1/2],
[-x + 1/2],
[ y + 1/2]]), Matrix([
[-z],
[ x],
[-y]]), Matrix([
[-z + 1/2],
[ x + 1/2],
[-y + 1/2]]), Matrix([
[y],
[z],
[x]]), Matrix([
[y + 1/2],
[z + 1/2],
[x + 1/2]]), Matrix([
[-y],
[ z],
[-x]]), Matrix([
[-y + 1/2],
[ z + 1/2],
[-x + 1/2]]), Matrix([
[ y],
[-z],
[-x]]), Matrix([
[ y + 1/2],
[-z + 1/2],
[-x + 1/2]]), Matrix([
[-y],
[-z],
[ x]]), Matrix([
[-y + 1/2],
[-z + 1/2],
[ x + 1/2]]), Matrix([
[-x],
[-y],
[-z]]), Matrix([
[-x + 1/2],
[-y + 1/2],
[-z + 1/2]]), Matrix([
[ x],
[ y],
[-z]]), Matrix([
[ x + 1/2],
[ y + 1/2],
[-z + 1/2]]), Matrix([
[ x],
[-y],
[ z]]), Matrix([
[ x + 1/2],
[-y + 1/2],
[ z + 1/2]]), Matrix([
[-x],
[ y],
[ z]]), Matrix([
[-x + 1/2],
[ y + 1/2],
[ z + 1/2]]), Matrix([
[-z],
[-x],
[-y]]), Matrix([
[-z + 1/2],
[-x + 1/2],
[-y + 1/2]]), Matrix([
[-z],
[ x],
[ y]]), Matrix([
[-z + 1/2],
[ x + 1/2],
[ y + 1/2]]), Matrix([
[ z],
[ x],
[-y]]), Matrix([
[ z + 1/2],
[ x + 1/2],
[-y + 1/2]]), Matrix([
[ z],
[-x],
[ y]]), Matrix([
[ z + 1/2],
[-x + 1/2],
[ y + 1/2]]), Matrix([
[-y],
[-z],
[-x]]), Matrix([
[-y + 1/2],
[-z + 1/2],
[-x + 1/2]]), Matrix([
[ y],
[-z],
[ x]]), Matrix([
[ y + 1/2],
[-z + 1/2],
[ x + 1/2]]), Matrix([
[-y],
[ z],
[ x]]), Matrix([
[-y + 1/2],
[ z + 1/2],
[ x + 1/2]]), Matrix([
[ y],
[ z],
[-x]]), Matrix([
[ y + 1/2],
[ z + 1/2],
[-x + 1/2]])]"
24,g,m..,"[Matrix([
[0],
[y],
[z]]), Matrix([
[    1/2],
[y + 1/2],
[z + 1/2]]), Matrix([
[ 0],
[-y],
[ z]]), Matrix([
[     1/2],
[-y + 1/2],
[ z + 1/2]]), Matrix([
[ 0],
[ y],
[-z]]), Matrix([
[     1/2],
[ y + 1/2],
[-z + 1/2]]), Matrix([
[ 0],
[-y],
[-z]]), Matrix([
[     1/2],
[-y + 1/2],
[-z + 1/2]]), Matrix([
[z],
[0],
[y]]), Matrix([
[z + 1/2],
[    1/2],
[y + 1/2]]), Matrix([
[ z],
[ 0],
[-y]]), Matrix([
[ z + 1/2],
[     1/2],
[-y + 1/2]]), Matrix([
[-z],
[ 0],
[ y]]), Matrix([
[-z + 1/2],
[     1/2],
[ y + 1/2]]), Matrix([
[-z],
[ 0],
[-y]]), Matrix([
[-z + 1/2],
[     1/2],
[-y + 1/2]]), Matrix([
[y],
[z],
[0]]), Matrix([
[y + 1/2],
[z + 1/2],
[    1/2]]), Matrix([
[-y],
[ z],
[ 0]]), Matrix([
[-y + 1/2],
[ z + 1/2],
[     1/2]]), Matrix([
[ y],
[-z],
[ 0]]), Matrix([
[ y + 1/2],
[-z + 1/2],
[     1/2]]), Matrix([
[-y],
[-z],
[ 0]]), Matrix([
[-y + 1/2],
[-z + 1/2],
[     1/2]])]"
16,f,.3.,"[Matrix([
[x],
[x],
[x]]), Matrix([
[x + 1/2],
[x + 1/2],
[x + 1/2]]), Matrix([
[-x],
[-x],
[ x]]), Matrix([
[-x + 1/2],
[-x + 1/2],
[ x + 1/2]]), Matrix([
[-x],
[ x],
[-x]]), Matrix([
[-x + 1/2],
[ x + 1/2],
[-x + 1/2]]), Matrix([
[ x],
[-x],
[-x]]), Matrix([
[ x + 1/2],
[-x + 1/2],
[-x + 1/2]]), Matrix([
[-x],
[-x],
[-x]]), Matrix([
[-x + 1/2],
[-x + 1/2],
[-x + 1/2]]), Matrix([
[ x],
[ x],
[-x]]), Matrix([
[ x + 1/2],
[ x + 1/2],
[-x + 1/2]]), Matrix([
[ x],
[-x],
[ x]]), Matrix([
[ x + 1/2],
[-x + 1/2],
[ x + 1/2]]), Matrix([
[-x],
[ x],
[ x]]), Matrix([
[-x + 1/2],
[ x + 1/2],
[ x + 1/2]])]"
12,e,mm2 . .,"[Matrix([
[  x],
[  0],
[1/2]]), Matrix([
[x + 1/2],
[    1/2],
[      0]]), Matrix([
[ -x],
[  0],
[1/2]]), Matrix([
[-x + 1/2],
[     1/2],
[       0]]), Matrix([
[1/2],
[  x],
[  0]]), Matrix([
[      0],
[x + 1/2],
[    1/2]]), Matrix([
[1/2],
[ -x],
[  0]]), Matrix([
[       0],
[-x + 1/2],
[     1/2]]), Matrix([
[  0],
[1/2],
[  x]]), Matrix([
[    1/2],
[      0],
[x + 1/2]]), Matrix([
[  0],
[1/2],
[ -x]]), Matrix([
[     1/2],
[       0],
[-x + 1/2]])]"
12,d,mm2 . .,"[Matrix([
[x],
[0],
[0]]), Matrix([
[x + 1/2],
[    1/2],
[    1/2]]), Matrix([
[-x],
[ 0],
[ 0]]), Matrix([
[-x + 1/2],
[     1/2],
[     1/2]]), Matrix([
[0],
[x],
[0]]), Matrix([
[    1/2],
[x + 1/2],
[    1/2]]), Matrix([
[ 0],
[-x],
[ 0]]), Matrix([
[     1/2],
[-x + 1/2],
[     1/2]]), Matrix([
[0],
[0],
[x]]), Matrix([
[    1/2],
[    1/2],
[x + 1/2]]), Matrix([
[ 0],
[ 0],
[-x]]), Matrix([
[     1/2],
[     1/2],
[-x + 1/2]])]"
8,c,.-3.,"[Matrix([
[1/4],
[1/4],
[1/4]]), Matrix([
[3/4],
[3/4],
[3/4]]), Matrix([
[3/4],
[3/4],
[1/4]]), Matrix([
[1/4],
[1/4],
[3/4]]), Matrix([
[3/4],
[1/4],
[3/4]]), Matrix([
[1/4],
[3/4],
[1/4]]), Matrix([
[1/4],
[3/4],
[3/4]]), Matrix([
[3/4],
[1/4],
[1/4]])]"
6,b,mmm . .,"[Matrix([
[  0],
[1/2],
[1/2]]), Matrix([
[1/2],
[  0],
[  0]]), Matrix([
[1/2],
[  0],
[1/2]]), Matrix([
[  0],
[1/2],
[  0]]), Matrix([
[1/2],
[1/2],
[  0]]), Matrix([
[  0],
[  0],
[1/2]])]"
2,a,m-3.,"[Matrix([
[0],
[0],
[0]]), Matrix([
[1/2],
[1/2],
[1/2]])]"
