Mult,Letter,Symm,Pos
192,i,1,"[Matrix([
[x],
[y],
[z]]), Matrix([
[-x + 3/4],
[-y + 1/4],
[ z + 1/2]]), Matrix([
[-x + 1/4],
[ y + 1/2],
[-z + 3/4]]), Matrix([
[ x + 1/2],
[-y + 3/4],
[-z + 1/4]]), Matrix([
[z],
[x],
[y]]), Matrix([
[ z + 1/2],
[-x + 3/4],
[-y + 1/4]]), Matrix([
[-z + 3/4],
[-x + 1/4],
[ y + 1/2]]), Matrix([
[-z + 1/4],
[ x + 1/2],
[-y + 3/4]]), Matrix([
[y],
[z],
[x]]), Matrix([
[-y + 1/4],
[ z + 1/2],
[-x + 3/4]]), Matrix([
[ y + 1/2],
[-z + 3/4],
[-x + 1/4]]), Matrix([
[-y + 3/4],
[-z + 1/4],
[ x + 1/2]]), Matrix([
[ y + 3/4],
[ x + 1/4],
[-z + 1/2]]), Matrix([
[-y],
[-x],
[-z]]), Matrix([
[ y + 1/4],
[-x + 1/2],
[ z + 3/4]]), Matrix([
[-y + 1/2],
[ x + 3/4],
[ z + 1/4]]), Matrix([
[ x + 3/4],
[ z + 1/4],
[-y + 1/2]]), Matrix([
[-x + 1/2],
[ z + 3/4],
[ y + 1/4]]), Matrix([
[-x],
[-z],
[-y]]), Matrix([
[ x + 1/4],
[-z + 1/2],
[ y + 3/4]]), Matrix([
[ z + 3/4],
[ y + 1/4],
[-x + 1/2]]), Matrix([
[ z + 1/4],
[-y + 1/2],
[ x + 3/4]]), Matrix([
[-z + 1/2],
[ y + 3/4],
[ x + 1/4]]), Matrix([
[-z],
[-y],
[-x]]), Matrix([
[-x],
[-y],
[-z]]), Matrix([
[ x + 1/4],
[ y + 3/4],
[-z + 1/2]]), Matrix([
[ x + 3/4],
[-y + 1/2],
[ z + 1/4]]), Matrix([
[-x + 1/2],
[ y + 1/4],
[ z + 3/4]]), Matrix([
[-z],
[-x],
[-y]]), Matrix([
[-z + 1/2],
[ x + 1/4],
[ y + 3/4]]), Matrix([
[ z + 1/4],
[ x + 3/4],
[-y + 1/2]]), Matrix([
[ z + 3/4],
[-x + 1/2],
[ y + 1/4]]), Matrix([
[-y],
[-z],
[-x]]), Matrix([
[ y + 3/4],
[-z + 1/2],
[ x + 1/4]]), Matrix([
[-y + 1/2],
[ z + 1/4],
[ x + 3/4]]), Matrix([
[ y + 1/4],
[ z + 3/4],
[-x + 1/2]]), Matrix([
[-y + 1/4],
[-x + 3/4],
[ z + 1/2]]), Matrix([
[y],
[x],
[z]]), Matrix([
[-y + 3/4],
[ x + 1/2],
[-z + 1/4]]), Matrix([
[ y + 1/2],
[-x + 1/4],
[-z + 3/4]]), Matrix([
[-x + 1/4],
[-z + 3/4],
[ y + 1/2]]), Matrix([
[ x + 1/2],
[-z + 1/4],
[-y + 3/4]]), Matrix([
[x],
[z],
[y]]), Matrix([
[-x + 3/4],
[ z + 1/2],
[-y + 1/4]]), Matrix([
[-z + 1/4],
[-y + 3/4],
[ x + 1/2]]), Matrix([
[-z + 3/4],
[ y + 1/2],
[-x + 1/4]]), Matrix([
[ z + 1/2],
[-y + 1/4],
[-x + 3/4]]), Matrix([
[z],
[y],
[x]])]"
96,h,..2,"[Matrix([
[ 0],
[ y],
[-y]]), Matrix([
[     3/4],
[-y + 1/4],
[-y + 1/2]]), Matrix([
[    1/4],
[y + 1/2],
[y + 3/4]]), Matrix([
[     1/2],
[-y + 3/4],
[ y + 1/4]]), Matrix([
[-y],
[ 0],
[ y]]), Matrix([
[-y + 1/2],
[     3/4],
[-y + 1/4]]), Matrix([
[y + 3/4],
[    1/4],
[y + 1/2]]), Matrix([
[ y + 1/4],
[     1/2],
[-y + 3/4]]), Matrix([
[ y],
[-y],
[ 0]]), Matrix([
[-y + 1/4],
[-y + 1/2],
[     3/4]]), Matrix([
[y + 1/2],
[y + 3/4],
[    1/4]]), Matrix([
[-y + 3/4],
[ y + 1/4],
[     1/2]]), Matrix([
[ 0],
[-y],
[ y]]), Matrix([
[    1/4],
[y + 3/4],
[y + 1/2]]), Matrix([
[     3/4],
[-y + 1/2],
[-y + 1/4]]), Matrix([
[     1/2],
[ y + 1/4],
[-y + 3/4]]), Matrix([
[ y],
[ 0],
[-y]]), Matrix([
[y + 1/2],
[    1/4],
[y + 3/4]]), Matrix([
[-y + 1/4],
[     3/4],
[-y + 1/2]]), Matrix([
[-y + 3/4],
[     1/2],
[ y + 1/4]]), Matrix([
[-y],
[ y],
[ 0]]), Matrix([
[y + 3/4],
[y + 1/2],
[    1/4]]), Matrix([
[-y + 1/2],
[-y + 1/4],
[     3/4]]), Matrix([
[ y + 1/4],
[-y + 3/4],
[     1/2]])]"
96,g,..m,"[Matrix([
[x],
[x],
[z]]), Matrix([
[-x + 3/4],
[-x + 1/4],
[ z + 1/2]]), Matrix([
[-x + 1/4],
[ x + 1/2],
[-z + 3/4]]), Matrix([
[ x + 1/2],
[-x + 3/4],
[-z + 1/4]]), Matrix([
[z],
[x],
[x]]), Matrix([
[ z + 1/2],
[-x + 3/4],
[-x + 1/4]]), Matrix([
[-z + 3/4],
[-x + 1/4],
[ x + 1/2]]), Matrix([
[-z + 1/4],
[ x + 1/2],
[-x + 3/4]]), Matrix([
[x],
[z],
[x]]), Matrix([
[-x + 1/4],
[ z + 1/2],
[-x + 3/4]]), Matrix([
[ x + 1/2],
[-z + 3/4],
[-x + 1/4]]), Matrix([
[-x + 3/4],
[-z + 1/4],
[ x + 1/2]]), Matrix([
[ x + 3/4],
[ x + 1/4],
[-z + 1/2]]), Matrix([
[-x],
[-x],
[-z]]), Matrix([
[ x + 1/4],
[-x + 1/2],
[ z + 3/4]]), Matrix([
[-x + 1/2],
[ x + 3/4],
[ z + 1/4]]), Matrix([
[ x + 3/4],
[ z + 1/4],
[-x + 1/2]]), Matrix([
[-x + 1/2],
[ z + 3/4],
[ x + 1/4]]), Matrix([
[-x],
[-z],
[-x]]), Matrix([
[ x + 1/4],
[-z + 1/2],
[ x + 3/4]]), Matrix([
[ z + 3/4],
[ x + 1/4],
[-x + 1/2]]), Matrix([
[ z + 1/4],
[-x + 1/2],
[ x + 3/4]]), Matrix([
[-z + 1/2],
[ x + 3/4],
[ x + 1/4]]), Matrix([
[-z],
[-x],
[-x]])]"
48,f,2.m m,"[Matrix([
[  x],
[1/8],
[1/8]]), Matrix([
[-x + 3/4],
[     1/8],
[     5/8]]), Matrix([
[1/8],
[  x],
[1/8]]), Matrix([
[     5/8],
[-x + 3/4],
[     1/8]]), Matrix([
[1/8],
[1/8],
[  x]]), Matrix([
[     1/8],
[     5/8],
[-x + 3/4]]), Matrix([
[    7/8],
[x + 1/4],
[    3/8]]), Matrix([
[7/8],
[ -x],
[7/8]]), Matrix([
[x + 3/4],
[    3/8],
[    3/8]]), Matrix([
[-x + 1/2],
[     7/8],
[     3/8]]), Matrix([
[     7/8],
[     3/8],
[-x + 1/2]]), Matrix([
[    3/8],
[    3/8],
[x + 3/4]])]"
32,e,.3m,"[Matrix([
[x],
[x],
[x]]), Matrix([
[-x + 3/4],
[-x + 1/4],
[ x + 1/2]]), Matrix([
[-x + 1/4],
[ x + 1/2],
[-x + 3/4]]), Matrix([
[ x + 1/2],
[-x + 3/4],
[-x + 1/4]]), Matrix([
[ x + 3/4],
[ x + 1/4],
[-x + 1/2]]), Matrix([
[-x],
[-x],
[-x]]), Matrix([
[ x + 1/4],
[-x + 1/2],
[ x + 3/4]]), Matrix([
[-x + 1/2],
[ x + 3/4],
[ x + 1/4]])]"
16,d,.-3m,"[Matrix([
[1/2],
[1/2],
[1/2]]), Matrix([
[1/4],
[3/4],
[  0]]), Matrix([
[3/4],
[  0],
[1/4]]), Matrix([
[  0],
[1/4],
[3/4]])]"
16,c,.-3m,"[Matrix([
[0],
[0],
[0]]), Matrix([
[3/4],
[1/4],
[1/2]]), Matrix([
[1/4],
[1/2],
[3/4]]), Matrix([
[1/2],
[3/4],
[1/4]])]"
8,b,-43m,"[Matrix([
[3/8],
[3/8],
[3/8]]), Matrix([
[1/8],
[5/8],
[1/8]])]"
8,a,-43m,"[Matrix([
[1/8],
[1/8],
[1/8]]), Matrix([
[7/8],
[3/8],
[3/8]])]"
